Interview Text,Dominant_Topic,x,y
"First of all, congratulations to Stanford. They played a great match tonight. And for our group, obviously disappointing for this season to come to an end after so many adventures that we went on together.",3,-27.00858,9.049253
"  No.  This Team does not get nervous.  We are a very poised, confident group.  We are prepared to go out and play each and every game, and this week is no different.",4,-23.724417,-15.470325
"I was trying to put away the hitter. For me something very big because that hitter is very big right now, he's on fire. And it's taking something special for me. And it was very good.",5,11.546651,5.6508913
"I mean, I think certainly early in the season that was a major factor. As the season has progressed, it's become less and less of a factor, but it's because we've had to adjust how we do business.",7,12.322664,26.455822
"We've been talking a lot. Talk a little bit about baseball, talk about his workouts, and other stuff. He's in a good place.",7,12.399872,29.30988
"  Yeah, absolutely.  It's gorgeous out here.  Really made it super fun having so many people watch, even though it wasn't official spectators.",4,-22.988123,-15.9213085
"I'm not thinking.  That's something that me and Matt have connected on before.  Incredible look by Matt, and I just had to do the easiest part and put it in the back of the net.",2,-4.6651273,-2.3613064
" Why, because they are all so good and they have done so many good things in golf.  They have won so many tournaments, their golf game is just close to perfection, so of course I am intimidated.",6,-7.8057704,19.60566
" Yeah, yeah, it's much better with my technique.  It's much better and now on I knew on hardcourt I couldn't play good.  I could play good, but now, I'm sure.",5,12.28458,13.658531
"I think it made a difference. We ran second, led some laps, ran second all day. We were just a little bit off on speed from the 18 I felt like.",2,-6.3980827,-3.5397725
"Yeah, it just depends on what type of hitter you are. Some people stick to your approach. Some people try to play along a little bit and kind of get a step ahead of him.",2,-3.8930898,3.6183572
  I felt like that a little bit.  I notice that Ally would always make it on top of me so I thought I was good motivation for her.,2,-4.2264853,-1.3838859
"  Oh, my God.  (Laughs) I'm done.  It was a struggle today, especially off the tee.  I think I was spending more time with the crowd than I was inside the ropes today.  So being very fan friendly today.",5,21.59514,6.830603
"This is something that, like I said, he came in yesterday and felt it a little bit and had these little spasms. Today he woke up and it was a lot worse.",2,-3.861419,3.234446
"Well, I wouldn't expect the worst strikeout Team to be in the World Series, you know what I'm saying? So I expect them to be good and they are really good.",6,-5.9794335,21.557049
 You've had an incredible season this year.  What do you put it down to?  You've been winning almost every other week.,7,11.7547245,23.362638
"First of all, I'll certainly give Salisbury the credit they deserve.  I thought they played a very good game today, very disciplined on offense, and their defense played tight all day.  I give them a lot of credit.",7,12.140239,31.726204
" Oh, absolutely.  What can I tell you? Three days, I have been all day in the place here trying to play some tennis.  Finally I could go out yesterday for a couple of hours to get something.",5,21.03915,6.261173
"  The snarl?  I kind of just did it.  I've never really made that face before, like ever in my really entire life.  Kind of just happened in the midst of things, in the moment.",0,-1.957449,-29.29172
" I don't know.  I haven't played on stadium.  But compared to the other courts, it is slower, yeah.  It is a little bit difficult for a serve and volley player to play well there.",7,11.933495,31.233292
"I echo that. When you have a place that you're proud of that you can go and say, This is such a beautiful field, let's all meet there, let's get together, the camaraderie, it's just amazing.",7,11.647834,26.463501
"  I'm definitely going to take some time off again.  I took a couple days off before this event, spend it with family.  I'm turning 23 on Wednesday and I don't know what I'm going to do yet.",1,20.014223,-15.684182
"I'll second that.  They are tremendous players but even better people off the field.  I mean, just their leadership and their charisma is very easy to follow.",6,-8.660674,23.956524
" Oh.  He is going to be tough.  I mean, he is very good player.  He is the top player.  So it is going to be tough.",5,13.405684,2.9048474
" I am not really looking that far ahead, playing Michael.  Right now I'm concerned about playing Enqvist and I will worry about it when the time comes.",2,-3.8822803,3.4388003
"Well, blocking against Jazz Sweet is pretty frustrating, I'm not going to lie but I think we did a pretty good job of staying patient. They were going to get there but we weren't going to get too frustrated.",0,-0.33028486,-30.948078
"All of them. I feel great, ready to go. This is exactly what I needed to get through here and get a little momentum built up. So feel good about all of them. ",3,-24.381899,8.235162
"  Well, I guess to me, it just means that I played on some very good Teams, that's all.  Fortunate to be on the Teams that have made it this far.",3,-26.264412,10.35254
"Obviously, there's measures in this contract that allow for the club to extend the payouts a few extra years in the contract that allows the immediacy of their payroll in the current year is where it has more flexibility.",1,18.057247,-11.243719
"Of course. That's always going to help. And, again, like I said before, every Team here is looking for starters because you can never have enough. That's just a fact.",0,-2.527216,-27.96395
"I truly believe -- we had opportunities today. We've been doing really well, driving in runs with men in scoring position; it just didn't happen today. So we'll come back tomorrow.",2,-8.03628,-4.926932
 To early to get in any kind of sense for me.  I don't think I have that much of a feel for the tournament yet.,5,9.616899,7.8021812
"No, we're not practicing that, but I have some knowledge about that. So we share the knowledge with the girls, and we take the decisions -- I talk to keeper and bowler and one senior player. That's it.",7,11.771335,25.235504
 I would say so.  Obviously depends on what we get tomorrow.  But I think these are the conditions you expect when you come over here.,6,-9.294792,22.531168
" Well, the 15 majors, but obviously that would be something very, very special.  I think so, yeah.  But hopefully before I get to 15, I'm up at 90.",4,-21.796051,-16.275965
"Yeah, it's a good question. I'm not the hiring authority, so I don't know, but I think it's important that we have really strong women in positions of leadership in our sport.",5,11.792141,8.532383
 I dived because I had to get the point and there was a little bit of luck and I got it.,3,-23.4691,8.791923
"I'm actually looking at him right now, he just walked in my office. We haven't talked yet. I'm going to find out his status. He's going to talk to you in a few minutes.",0,1.2331274,-24.874426
" Yeah, I would definitely say so.  The approaches are also difficult to play in this kind of windy conditions, but still, I think it gives her more problems to pass me than for me coming in.  That is for sure.",7,7.4245863,22.614838
  You don't get a chance to know each other too well.  The thing I know about him is he is a great leader for his football Team and he is a great player.,5,12.988329,11.015682
"There was a lot of things that could happen with lap cars, him guessing wrong, me being able to run the bottom or run the top or get a good run or something along those lines. It never materialized. ",4,-25.130243,-14.611231
"Marisnick? Jake is an impact defender, he's got some base running skills that we can utilize hitting in front of the pitcher. He's got a little bit of history with Corbin, having done pretty well with him.",7,12.361211,30.220165
"  It was fun.  It's nice having my brother on the bag, but it's cool.  This is the first time dad has caddied for me since I've been on tour.",0,-4.11212,-26.214445
" Obviously, it didn't.  Usually I play pretty well when I have an injury, but normally I don't make it a habit.",0,-3.6524076,-27.184961
I think we obviously have to respond from last night.  It's always about what's in front of you.  Whatever is behind is in the past.  You have no control over it.,1,18.056055,-11.241504
"  Yeah, you know, we realized what they were doing defensive-wise, so we had a much better offensive output in this game, move the ball, move the ball, move the ball, and skew their defense.",7,11.771607,25.232203
"Yeah, to be honest, we haven't talked all about it. I know he had a great run. I think we all respect his career beyond just that. Yeah, just trying to get better.",7,11.850833,30.237932
"No, for me, he just got -- he starts the game, he gets a little quick. But then he settled down for a little bit and then Chirinos hit a good change-up.",2,-4.9510565,-2.0934136
  Probably on 16.  That was the longest putt that I holed today.  It was kind of across the green down there by the water.,7,9.626561,22.083805
" No.  Each one wants to do the best she can.  But we don't think ""I want to be better than my sister.""  Each one wants to do the best she can, but for herself.",0,-4.112875,-26.21574
" Absolutely.  I'd like to see Michelle, although I didn't want her to win on Sunday because I wanted to win, but as it turned out neither of us won; obviously Karrie won.",0,-0.7048647,-21.746016
Michigan State was a physical Team.  They dominated us in all three aspects of the game.  I thought they were a really well coached Team and physical throughout all four quarts.,4,-25.131115,-14.609138
"Well, we feel like we're -- two years ago now this next year we feel like coming into this next season that's going to be the goal. It should be when you have won back-to-back 97-game seasons.",1,14.490516,-12.87809
"I agree with everything they said. I couldn't have asked for a better senior year, and I'm just so thankful for everyone (tearing) Texas A&M volleyball has a really bright future and I'm excited to watch.",2,-8.025153,-5.333308
"Yeah, absolutely, I got a couple to fix up about my mechanic, and I want to work this offseason about that.",1,17.814577,-11.438734
" Not many people would, but if someone starts to mention, hey, this and that the other, I say listen I could careless.",0,-2.907551,-24.414587
"Yeah, that line's been great for us whenever they're together.  Robby came in, brought some speed, some legs.  Looked pretty good.",7,12.310147,26.490797
 Not particularly.  I think surface probably suits him a little more than it suits me.  Probably more comfortable on this than he is on grass.,3,-26.264267,10.350765
"Obviously very proud to have followed Fernando Valenzuela, obviously something historic, and something that I'm obviously very happy about, very happy to have followed him and to have done what I've done today.",4,-23.963219,-15.891944
I don't know about it is remarkable.  I think it is a testament of what people can endure or persevere.,5,13.290885,6.7609234
"Well, you're right, he was good in the No. 1 spot.  He was playing well, he likes to play fast, he was comfortable playing in the No. 1 spot.  Get out there and go, you know.",5,19.41519,6.6710286
"Enjoy it. Honestly, it's stuff you gotta go through. I got a lot of advice from friends of mine. Kevin Cash, he's one of them. Something you gotta go through.",7,12.315346,26.49467
"  Well, I don't know if that's true or what it is.  I think preparation and opportunity, those two things combine, good things happen.",0,-1.5875939,-29.0003
"  Definitely feel a certain level of disconnection.  When you're here, you very much feel like you're in a bubble and kind of secluded and separated from the outside world.",0,-0.74673957,-29.956888
 Is this the best win that you have ever had against a big player or have you beaten another top player?,2,-2.9790492,0.7372644
"  I tell you tomorrow.  It is nothing knew to me.  I mean, I have been playing singles, doubles, mixed doubles at the tournaments, so it is no different than any other tournament.",5,5.4558463,4.128457
" I will ask Tiger the same question after being the lead now at 6-under.  Some thoughts on your round today, and if you could go through your round card, if you don't mind.",2,-4.948132,-2.1037498
"  You know, just being aggressive.  Taking the same shots that I took last game, and just having confidence in that.  My Teammates have confidence in me to score the ball.",6,-9.164297,23.986029
" There was a serve.  It is difficult from the other side to judge a serve, but I felt it was out.",4,-21.125841,-15.550208
"And one more thing to add, the humidors don't really address the issue of drag. The humidors will affect the coefficient of restitution, but sort of the topic of drag isn't likely to be impacted by that.",6,-9.295266,22.532005
"  I think what everybody sees in them, they are very athletic.  They don't give up a lot of big plays and they make good plays.",0,-3.6523106,-27.185076
 I am just going to let the Europeans do it because we are on deadline and if we want to go back to English we can.,1,16.090956,-11.079078
"No, I don't think so.  He's a good defender, and I mean, I only one scored goal, so he did his job, I guess, and he played his position well.",5,12.445462,6.2318587
"It was pretty clear??̻<U+0080><U+0091>cut. The 21 hung a left, drove those guys down below the line. We called that twice on the 22 car during the race, so nothing different there.",7,7.7204547,22.615108
"Well, it's obviously a different experience.  Something that I'll definitely remember.  Something  that I'll look back on with fond memories.",6,-8.67958,23.109661
"Melanie, thank you so much. I want to echo as well your dad, truly amazing and inspiring, Mike. Definitely want to thank him for all of his efforts, and obviously your whole family. So thank you.",4,-26.353146,-14.575212
"Again, an incredible look by Matt Moore.  He did the grit, and I just saw a shooting lane and I took it.  But Matt Moore did an incredible job, eyes up, and to see the player he's become is incredible.",7,12.361092,30.224894
"Obviously we played a lot of world-class Teams in this tournament. But this performance would probably be one to remember by the players themselves, giving them motivation, and also for the fans back home as well.",4,-25.941435,-13.943074
"They positioned themselves pretty well. But we hit some balls hard. Trea hit a couple balls hard today, actually three balls hard. We've just got to keep battling.",5,21.984121,6.180087
"  It feels pretty good.  It is always good to win a Grand Slam title even in mixed.  I think very special and you only have so many chances to win them, they are good to take.",0,0.048686616,-31.559917
My mom is someone that I talk to a lot and obviously she helped me out this morning. We had coffee. Just gave me some words of encouragement.,7,9.574721,21.172728
He's been vital to our run up to this point.  There's no question about that.  We are not here without him playing at such a high level.,5,10.34275,4.557644
"Good afternoon, everyone. I have a couple of topics that I would like to cover and then obviously I will take questions, some of which I may answer.",1,18.431852,-11.913133
I am just very happy to be there.  It is just -- it is no time to be surprised or not to be surprised.,5,13.291673,6.760175
" He's going to come out swinging, he's got a really nice backhand and he's been playing well all week, and I hope I can put the pressure on him and serve like I did today and we'll see what happens.",4,-27.024038,-13.692694
I will still working on the same thing because like the first two hole I keep thinking about the outcome and I don't have good commitment at all.,0,-4.108848,-26.2094
"  I thought to myself, I said, I tried to get a pitch to hit and he made a good pitch.  That was a fastball and I handled it.",1,18.431248,-11.915173
"  It was a good settler.  I felt like I started fine, a little bit more steady than yesterday, so to roll that birdie in was good to gain some momentum for the rest of the day.",2,-7.499385,-4.3246236
"  I'm doing the same thing.  I'm gassing him up.  I feel like I'm putting that battery in his back.  There's a lot of times I tell him, ""Don't pass.""",5,10.597889,4.7450266
"I think that's an Individual thing. Players have to pick themselves up. Management or anyone can go out and give advice, but at the end of the day, it's up to the player to go out there and execute.",5,12.330754,13.461588
"Let me just add to that, that when Lloyd says we have no idea, you could interpret that to mean that nobody in this world has any idea because, if Lloyd doesn't know, then nobody knows. (Laughter.)",1,15.780102,-11.049121
"Obviously you can always shut the short.  So maybe give them something different.  Coach Conry was like  Nope, we're sticking to who we are and what we're all about.",2,-2.9254355,-0.039601985
" When I am out there, it feels like it would be nice to know that I am a serving a little bit better and not miss easy shots at breakpoints, or game points or whatever.",1,19.935139,-14.811289
" When you win a few matches, I beat good players, then you get more confidence and then you know that you can beat good players.  So that has happened a lot.",5,20.323416,6.3329616
"It's not what I want to be here talking about. And hopefully when AJ gets in here, he'll get back to talking about Game 3 and this series.",4,-23.190575,-16.386139
"To be honest with you, that probably helped distract me through the majority of the week. Just being able to talk about something else, not being so caught up in a points situation.",6,-9.43519,23.078428
"Yeah, it's been a long year, up and down.  All worth it in the end.  Obviously a little bonus scoring that goal last night, too.",1,18.481928,-12.768342
" Yeah, not really-- and after they broke us, she got very confident.  She started to psych up and going for the shots.",2,-3.9307988,-1.6316353
He felt something when he went to block that ball in his hip flexor. We don't know the severity of it yet. We'll know more tomorrow. But it is his right hip flexor.,5,16.206945,6.6971297
"ORLANDO HERNANDEZ (Through Leo Astacio)   I have given thought to everyone on their Team.  Luis Gonzalez, he's a member of that Team and I have thought about all of them.",4,-21.802605,-16.28081
"  Yeah, well, I knew that today playing in the morning, especially early, was going to be much more difficult than yesterday, as was shown by the scores yesterday morning.",5,21.038563,6.2617416
" First, to rest, then I will see what other tournaments I will be playing and if it is Australia or not.",2,-3.0942335,1.642978
"  Yeah, obviously that opportunity helps, but I'm just getting out there and seizing the opportunity and knowing that I need to make plays in order for us to be successful.",2,-7.5146008,-4.3056235
"  You know, that's a great question.  I think the biggest thing is for me just studying the game, realizing what my strengths are and what Teams are trying to take away from my game.",5,20.338617,6.778779
"He was a very smart player, and now he can share the knowledge he has with the players that he's going to manage. Carlos was always well respected, well received, and I know he will be there, as well.",7,11.7715845,25.232668
"  I've never managed to find a comfort zone on this golf course.  It amazes me, but I think that's a tribute to how great of a design it is.",0,-1.2331996,-24.453276
"Congratulations to Wesleyan, and Coach Raba a tremendous game.  It was a battle for 60 minutes.  They got the best of us today, but we battled till the end, and I'm very proud of the Seagulls.",2,-6.979833,-4.836628
" The Other Side of Midnight, and Memory -- Memories, something like that.  Two books of Sidney Sheldon.  So I finish them up.  So I don't have any  more to read.  I have to buy new ones.",5,13.468717,3.0266523
"Hi, everybody. I'm Jon Sciambi, and it is my pleasure to welcome you all to this year's announcement of the 8th annual Winter Meetings Charity Auction. So thanks for being here. Appreciate it.",4,-23.73344,-15.467465
"Andy is fully recovered and has started maybe some light hitting. He's on a regular schedule. He'll be without any sort of setback in any area, he'll be 100 percent full go in Spring Training.",2,-6.762838,1.6935449
A lot of different and for the last days I played with some juniors because there is no more big players.,5,14.476826,6.6029606
"Yeah, I agree with what both of them said. I think this is a really great way for us to go out, and to go out with this group of people who happen to be some of our best friends.",2,-6.8839755,-4.047055
" I cannot think about that right now. Actually, my dream was to play one more good Grand Slam and retire and maybe it is coming true.",5,12.279762,13.676543
"It was really something that's been in the works for a little bit. I've sort of changed around my strategy going into, I guess, T20 cricket.",0,-4.141234,-23.516674
I feel great right now.  What a beautiful day to play golf.  Braved the last two holes to kind of get myself back in the game.,7,11.668324,26.399588
I try not to watch my competitors anyway.  I try not to watch what they do all that much anyway.,2,-3.1246343,1.328296
"Probably so.  Actually he makes all sizes.  I know that my waist is a 30, but in his clothes I'm a 32, so it makes me feel a little bigger.",1,-21.728348,8.5893955
"The field crew at University of Arizona, they were my best buds. Johnny O., he was the director, he still is today. And the mound was absolutely gorgeous, the grass, there wasn't one flaw. So definitely University of Arizona.",5,17.219618,6.929392
"First, just congratulations to Minnesota on a great season. They're a great Team. We saw them early and they definitely presented some unique challenges.",6,6.3634443,22.497725
Not really. We were just worrying about today. We knew that going in I guess there wasn't any reserve day. Hopefully the forecast changes. I've seen that happen before. And hopefully we get two really good semifinals in.,4,-26.857815,-13.790403
You're obviously one of the leading players on the LET at the moment.  Does that put extra pressure on you coming in this week against players from America?,3,-26.74595,9.36182
"Yeah, it's definitely uncharted territory. And I'm just trying to continue to do what I've tried to do all year, is just take it one day at a time and just listen to the body.",1,19.43782,-13.951894
"Yeah, because that's not coming from the players on the field. The players on the field, it's their job to guard against the players on the field. You can't guard against technology and players off the field.",7,11.735911,29.345558
"Gee, this is a Lisa Raymond -- Natasha Zvereva press conference. I don't know. Frankly, I don't know. I don't think anything lacking. She is playing good.",5,18.301926,6.3900046
I had injured it the Friday just before the Monday at San Diego the tournament practicing.  I would probably say it affects me most definitely running.  On my serve and my backhand.,6,-8.660979,23.958988
"Well, right now, based on what the organization make the move, we hired -- they hired him, before I got here, to be the closer. So that's something that we have to talk about.",0,1.4103228,-24.754412
"Yeah, I appreciate the question. I think a lot -- people have spoken on this. I've spoken on this, I addressed it right away. Jeff just spoke.",7,12.059007,29.251001
"The key for them is clearly Plummer. If she's good, then that creates space for everyone else. Everyone else can take a little breath. If they have to lean on everyone else, it gets a little bit different.",3,-25.491735,10.027769
"We're excited to have with us a number of players who were named to the first and second Teams. Join me in welcoming the All-MLB second Team, designated hitter of the Houston Astros, Yordan Alvarez is with us.",0,-1.9491271,-29.311201
"I think I will not miss cricket -- I mean, I'll be involved because I can't stay away from this. And somehow I'll be involved with cricket.",6,-9.437288,23.978165
"You know, I can't say we practice it a ton.  We talk about power play, that sort of thing.  Then defending also I think is something we cover and talk about.",7,12.09952,20.806084
"  I think I definitely left  -- I did yesterday, as well.  You know, one of my  -- one of my things about this golf course is that I just don't read those greens well.",5,11.885314,8.472776
"  Yeah, so coming from KPMG I was extremely happy with my long game from tee to green, but the putts were not really dropping that week.",7,12.038675,27.995052
"  Is that aggressive?  (Laughs.) No, I think I played pretty well.  I'm getting it in the fairway, and then I really hit some good iron shots today.",2,-3.9018512,3.9689088
Very happy with the home run. Obviously today all my Teammates were saying today is your day. Today is your day. And it happened so obviously very happy about it.,4,-26.359243,-13.781721
" I think I was very tired -- I was tired because I have been all the week with diarrhea, because the food here is not very good for me.  I was very tired, the whole match.",2,-3.6781473,-0.60442847
" Yeah, a big surprise.  I was really surprised about; especially Jennifer yesterday.  I knew she had a tough match yesterday.  It wasn't going to be easy, but I didn't think she was going to lose.",2,3.6711688,3.5502045
" When the rankings were first released, she was ranked third.  I think any time you have a prominent player, there's always discussion.  Anyone who you ask, whether there's resistance or discussion, that's up for debate.",2,-5.575593,-2.9702976
"I think it affected our Team.  You know, I think collectively a lot of things affected our Team.  I do think that affected our Team.",5,17.203802,6.416902
We started on the back nine and I started off hitting a 5-iron in there probably 18 feet from the hole and knocked it in for birdie.,1,18.14789,-12.072817
" He was serving for the match at 5-1.  He was Love-all; he had hit a smash wide, real wide, and it was- -",6,-8.920816,21.568262
" You know, that's a hard question to answer simply because you haven't replaced it with another event.  The answer would probably be yes, I would have played, and I would have taken the  same approach.",7,11.850811,30.238169
"It was tough for him, first game back.  That's a big game.  Obviously they didn't get a whole lot of time up there, so it's hard to evaluate it that much.",2,-6.952652,1.7540433
"Sure, I'm appreciative that the officials allowed it to be an aggressive game and they allowed big, physical contact to happen.",7,11.650529,26.442205
"  Well, you know, I don't think I was consciously thinking about the game at that time, but you pick up things if you're an independent kid.",0,-2.941581,-28.296232
" We have world No. 1, Annika Sorenstam, the recent winner of the U.S. Women's Open and also the lady who won here in 2003.  There must be some good memories you have here.",4,-21.800962,-16.27966
"  Well, start off with our Captain, Sue Bird, just leading us and it goes from the starting five all the way down to the players on the bench as well.",3,-26.010504,9.773096
"  I'm sure she is.  They're both great.  Pat was a pod captain last year too so I got to know her pretty well.  Yeah, they're both just great.",7,12.398316,29.30811
I don't know that it's been a bit of a struggle and I think some of what's been identified as a struggle is explosive displays compared to what some of our Teams have done in the past.,5,13.682384,8.084293
"Yes, we missed him in the first half and any conversations I have with him on whether he's coming back or what he's doing I will share with him and probably not anybody in here.",4,-24.60167,-15.227183
Today I went to the net a lot.  I felt very good.  There are going to be players where I am going to have to come in more.  I am working on that.  It is much better.,5,20.32208,6.333401
"  You know, weather is really good and golf course is really good condition right now, so everybody -- I know everybody play well starting weekend, right?",7,12.137425,31.725584
" I think size-wise, they compare to Nebraska close enough, their center is about the same size, the way their tackles would be, physical.  Just the quickness of the center, I'd say probably the most they compare to is Nebraska.",6,-6.084247,21.393051
"  Lopez?  Yeah, I've faced him plenty of times, yeah, when he was with the Indians and this year with the Devil Rays.  He's a pitcher that comes right at you and I was looking to get at it right away.",7,11.74891,29.315851
"We have a really good Team. We have a lot of good things going. We have -- we're trying to build the 2020 Team. Our energy's been spent on that. Obviously, it's been a different off-season for us.",4,-26.351068,-14.5758505
"  Well, there's not uncertainty in my mind with LeBron James.  And [when] I took the job, we didn't have Anthony Davis.  We didn't have the whole Team.  It was a different Team after the fact.",4,-25.892899,-14.700237
" I think it's just work has been paying off and I did good last year, I just didn't have any wins.  But I was playing good.",2,-3.9360437,-1.6364974
There's no doubt there's been a lot more time going into data and watching games. And there's so much footage now these days that you can't really hide.,4,-25.128656,-14.616302
" Yeah, sure, she was.  She was making some doublefaults or easy volley mistakes and -- I mean, she is always a little bit nervous when it is getting close.  Yeah, she was, definitely.",7,6.9945054,22.574226
"Look, we know we're a great fielding unit. We normally have one of those games somewhere along the line. I'm just happy it's gone now, and I know the Team is going to do better next time.",5,21.98074,6.1811705
"But Yadi can hit anywhere. Hit second for us, third, fourth, fifth. He can hit anywhere because Yadi has an approach, and so he's going to be productive.",4,-23.964388,-15.888749
I'm living the dream. I know this is a big opportunity for me. It's a big year for me. And I'm going to do my best every outing and enjoy the time.,1,20.143505,-15.194853
Feel really good.  I was just thinking like I don't want to discredit my round just because I played a couple bad holes towards the end of the day.,0,0.049644783,-31.55959
"I thought we were disciplined. We weren't trying to do so much. I think when we've gone back and we watch how we defended her in the past, I thought it looked like a very undisciplined, poor-coached Team.",2,-6.9685364,-4.8333163
"  I mean, it definitely is a high percentage if I have a few days.  But like I said, I'm making some progress, then some days I'm the same.  We'll see.  We'll see.",3,-21.88482,8.640915
Just I think my game just is finally coming together.  I'm really comfortable my swing.  My PXG equipment has been working fantastic for me.,5,12.951158,11.119313
"Yeah, it definitely helps when you can get -- see their bullpen. This way you know in a long series like that you know who you're going to face, if you face them again, and what they have.",1,15.7769985,-8.737569
"Yeah, I talked to him a little bit in Houston. A lot of guys who I've played with, we've gone through a couple of levels here and being able to play against somebody else, it's great.",7,12.383462,31.505987
"I started on 1, so first hole I hit a sand wedge about a foot, got it in my range.  I hit a 9-iron about two feet.",1,18.714779,-13.518398
"No, we're trying to win today's game. I'll empty my own tank. There's certainly a couple of guys that I'm not going to use; Greinke and Cole. But we're trying to win today's game.",0,1.090238,-24.942896
I know what the boards feel like (laughter).  I was a little bit confused where he was.  It was six-on-five.  You're just trying to find a spot to stand.  I was tired so I parked it in front.,3,-27.0209,9.818041
"To talk about what Matt was saying and his lacrosse IQ, it was in the fall last year, it was freshmen fall.",7,10.7752,21.730307
"Every off-season we go through our baseball operations policies. Sign stealing was a big focus during the off-season last year, and I expect it will be this year as well.",2,-4.6661415,-2.3650532
"Yeah, he's in the clubhouse now. He's going to get treatment. He's going to do everything he can to try to get ready.",4,-23.190697,-16.384998
" I have played Sampras at Wimbledon this year, and that was a big match for me.  I didn't play too bad.  I played a few other guys.",7,11.648551,26.466145
"It's amazing to see.  This is a hockey town.  They've been with us through the ups and downs.  They're excited.  This is something new and special, and they're a big part of it, a big piece of it.",1,14.303453,-12.935992
I think you heard Erik say in the previous interview there would probably be even more wrecks. We certainly don't need more wrecks than what we saw today. Probably not.,5,12.195962,14.036115
I think everybody is excited about the game.  They have enjoyed their experience and they are going to be ready to play.,0,-2.1276062,-24.54779
"I think you're always looking for pitching. I don't know that you ever have enough. I don't know. We'll see what's out there, see whatever. But like I say, I don't think you can ever have enough starting pitchers.",0,0.4962311,-31.849234
"It's a little different than our old stadium, it's got some jagged edges around the outfield. It's going to take some time.",2,-3.2746286,-0.861568
 You probably are not going to see us two doing a Stance Little League Clinic.  We are probably the two worst guys you would want to have your kids going up there and hitting like.  (Laughter.),1,19.93756,-14.81498
"Yeah, I mean, of course you want to win every game.  I think if you think you're going to sweep every Team or the games that are left, I think you're maybe in a fantasy world.",5,22.458828,6.334271
"It would be great for us, great for the Team, great for him.  He's locked in, laser like focus going into this ballgame and practicing well, preparing really well.  Not going to let himself get beat in this game.",6,-7.169349,20.79806
"  Yes.  Definitely got a lot of congratulations from Mike Whan, for example.  He texted me right after the third round last week, so that felt really special.",4,-25.941011,-13.942261
"  So I been working more on like short game and bunker play and putting as well.  Putting obviously has been paying off.  Short game, not so much so far.  That can change this week.",2,-8.039224,-4.9258065
